2025-11-12 01:41:22 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102897.36","breakEvenPrice":"103069.38935","markPrice":"102849.90000000","unRealizedProfit":"-0.94920000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2056.99800000","isolatedWallet":"0","updateTime":1762891882266,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:23 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891884112, 'recvWindow': 5000}
2025-11-12 01:41:23 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102897.36","breakEvenPrice":"103069.38935","markPrice":"102847.40000000","unRealizedProfit":"-0.99920000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2056.94800000","isolatedWallet":"0","updateTime":1762891882266,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:24 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891885339, 'recvWindow': 5000}
2025-11-12 01:41:25 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102897.36","breakEvenPrice":"103069.38935","markPrice":"102838.00000000","unRealizedProfit":"-1.18720000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2056.76000000","isolatedWallet":"0","updateTime":1762891882266,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:26 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891886978, 'recvWindow': 5000}
2025-11-12 01:41:26 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102897.36","breakEvenPrice":"103069.38935","markPrice":"102840.70000000","unRealizedProfit":"-1.13320000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2056.81400000","isolatedWallet":"0","updateTime":1762891882266,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:27 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891888413, 'recvWindow': 5000}
2025-11-12 01:41:27 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102897.36","breakEvenPrice":"103069.38935","markPrice":"102866.80000000","unRealizedProfit":"-0.61120000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2057.33600000","isolatedWallet":"0","updateTime":1762891882266,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:28 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891889639, 'recvWindow': 5000}
2025-11-12 01:41:28 | INFO | BinanceREST | RESP 200 [{"symbol":"BTCUSDT","positionAmt":"0.020","entryPrice":"102897.36","breakEvenPrice":"103069.38935","markPrice":"102890.00000000","unRealizedProfit":"-0.14720000","liquidationPrice":"0","leverage":"20","maxNotionalValue":"20000000","marginType":"cross","isolatedMargin":"0.00000000","isAutoAddMargin":"false","positionSide":"BOTH","notional":"2057.80000000","isolatedWallet":"0","updateTime":1762891882266,"isolated":false,"adlQuantile":1}]
2025-11-12 01:41:29 | INFO | BinanceREST | GET /fapi/v2/positionRisk params={'symbol': 'BTCUSDT', 'timestamp': 1762891890803, 'recvWindow': 5000}
